Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,Location,StartDate,EndDate,Total Deaths,Total Affected,Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)"
Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Merapi,Indonesia,"Boyolali, Magelang, Kota Magelang, Kota Klaten, Klaten districts (Jawa Tengah province), Sleman district (Daerah Istimewa Yogyakarta province)",2006-04-01,2006-05-01,,11000.0,,
Natural,Hydrological,Flood,Riverine flood,,,Indonesia,"Kota Jakarta Barat, Kota Jakarta Selatan districts (Dki Jakarta province), Tangerang district (Banten province), Bekasi, Bogor, Kota Depok districts (Jawa Barat province)",2007-01-01,2007-02-01,68.0,217087.0,971000.0,1370524.0
Natural,Meteorological,Storm,Tropical cyclone,,Katrina,USA,"Mobile, Bayou La Batre, Dauphin Island, Coden areas (Mobile district, Alabama province), New Orleans city (Orleans district, Louisiana province), Slidell area (St. Tammany district, Louisiana province), St. Bernard district (Louisiana province), Biloxi, Gulfport cities (Harrison district, Mississippi province), Pascagoula city (Jackson district, Mississippi province), Waveland, Bay St. Louis cities (Hancock district, Mississippi province), Georgia, Florida provinces",2005-08-01,2005-09-01,1833.0,500000.0,125000000.0,187319074.0
Natural,Hydrological,Flood,Riverine flood,,,USA,"Reno area (Washoe district, Nevada province), Truckee area (Nevada district, California province), Napa, Sonoma, Mendocino, Marin, Solano, Los Angeles districts (California), Carson City district (Nevada province)",2005-12-01,2006-01-01,3.0,3600.0,245000.0,367145.0
Natural,Meteorological,Storm,,,,Japan,"Niigata, Iwate, Hirosima, Tottori provinces",2005-12-01,2006-01-01,100.0,2810.0,33000.0,49452.0
Natural,Hydrological,Flood,Flash flood,,,Thailand,"Songkhla, Trang, Satun, Nakhon Si Thammarat, Phatthalung, Samut Prakarn, Samut Sakhon, Samut Songkham, Chumphon, Narathiwat, Pattani, Yala provinces",2005-11-01,2006-01-01,55.0,700000.0,97000.0,145360.0
Natural,Meteorological,Storm,Tropical cyclone,,Matsa (Gorio/09W),Chinese Taipei,Taiwan Sheng province,2005-07-01,2005-08-01,,,1000.0,1499.0
Natural,Meteorological,Storm,Tropical cyclone,,Rita,USA,"Louisiana, Texas, Mississippi provinces",2005-09-01,2005-10-01,10.0,300000.0,16000000.0,23976841.0
Natural,Climatological,Drought,Drought,,,Thailand,"Ang Thong, Bangkok, Buriram, Chachoengsao, Chainat, Chaiyaphum, Chanthaburi, Chiang Mai, Chiang Rai, Chonburi, Chumphon, Kalasin, Kampaeng Phet, Kanchanaburi, Khon Kaen, Krabi, Lampang, Lamphun, Loei, Lopburi, Mae Hong Son, Maha Sarakham, Mukdahan, Nakhon Nayok, Nakhon Pathom, Nakhon Phanom, Nakhon Ratchasima, Nakhon Sawan, Nakhon Si Thammarat, Nan Narathiwat, Nong Khai, Nonthaburi, Pathum Thani, Pattani, Phangnga, Phatthalung, Phayao, Phetchabun, Phetchaburi, Phichit, Phitsanulok, Phra Nakhon Si Ayudhya, Phrae, Phuket, Prachuap Khilikhan, Ranong, Ratchaburi, Rayong, Roi Et, Sakon Nakhon, Samut Prakarn, Samut Sakhon, Samut Songkham, Saraburi, Satun, Si Saket, Singburi, Songkhla, Sukhothai, Suphanburi, Surat Thani, Surin, Tak, Trad, Trang, Uthai Thani, Uttaradit, Yala, Yasothon, Amnat Charoen, Nong Bua Lamphu, Phachinburi, Sa Kaeo, Ubon Ratchathani, Udon Thani provinces",2005-01-01,2005-03-01,,,420000.0,629392.0
Natural,Climatological,Wildfire,Forest fire,,,USA,"Texas, Oklahoma provinces",2005-12-01,2006-01-01,5.0,1410.0,100000.0,149855.0
Natural,Hydrological,Flood,Riverine flood,,,Japan,"Matumotosi, Okayasi, Minowamati districts (Nagano province), Izumosi district (Simane province), Aminotyoo, Kumihamatyoo, Oomiyatyoo, Tangotyoo, Yasakatyoo districts (Kyooto province), Tateyamamati district (Toyama province) ",2006-06-01,2006-07-01,34.0,6232.0,,
Natural,Hydrological,Flood,Flash flood,,,Thailand,"Nan, Phrae, Lampang, Sukhothai, Uttaradit provinces",2006-05-01,2006-06-01,116.0,342895.0,25000.0,36293.0
Natural,Hydrological,Flood,Riverine flood,,,Thailand,"Chiang Rai, Chiang Mai, Mae Hong Son, Lamphun, Lampang, Phrae, Phayao, Uttaradit, Phetchabun, Phitsanulok, Sukhothai, Tak, Kampaeng Phet, Nakhon Sawan, Uthai Thani, Phichit, Chainat, Singburi, Ang Thong, Phra Nakhon Si Ayudhya, Lopburi, Saraburi, Pathum Thani, Nonthaburi, Nakhon Nayok, Chachoengsao, Phachinburi, Chonburi, Chanthaburi, Chaiyaphum, Khon Kaen, Surat Thani, Nakhon Si Thammarat, Phangnga provinces",2006-08-01,2006-12-01,164.0,2212413.0,9940.0,14430.0
Natural,Hydrological,Flood,Riverine flood,,,USA,"Maryland, Pennsylvania, New York, Delaware, Virginia, New Jersey provinces",2006-06-01,2006-07-01,11.0,65000.0,1000000.0,1451721.0
Natural,Hydrological,Flood,Riverine flood,,,Cambodia,"Kampong Seila district (Koh Kong province), Phnom Penh, Kampong Speu, Kampot, Ratanak Kiri, Mondul Kiri provinces",2006-08-01,2006-11-01,5.0,33000.0,,
Natural,Meteorological,Storm,,,,USA,"Illinois, Indiana, Kentucky, Missouri, New York, Ohio, Pennsylvania, Tennessee provinces",2006-11-01,2006-12-01,11.0,,,
Natural,Meteorological,Storm,Tropical cyclone,,Ernesto,USA,"South Carolina, North Carolina, Virginia provinces",2006-08-01,2006-09-01,6.0,140.0,32860.0,47704.0
Natural,Hydrological,Flood,Riverine flood,,,Mexico,Juarez district (Chihuahua province),2006-07-01,2006-08-01,,,,
Natural,Hydrological,Flood,Flash flood,,,Turkey,"Antalya town (Merkez district, Antalya province), Mersin town (Merkez district, Icel province), Siverek, Ceylanpinar, Suruc districts (Sanliurfa province), Bismil, Cinar districts (Diyarbakir province), Cizre, Silopi, Uludere districts (Sirnak province), Merkez, Hasankeyf districts (Batman province), Beykoz, Sariyer districts (Istanbul province), Yuksekova, Semdinli districts (Hakkari province)",2006-10-01,2006-11-01,47.0,63015.0,317000.0,460196.0
Natural,Biological,Epidemic,Viral disease,,Crimean-Congo Haemorrhagic fever,Turkey,"Tokat, Sivas, Gümüshane, Amasya, Yozgat, Corum provinces",2006-01-01,2006-08-01,20.0,222.0,,
Natural,Hydrological,Flood,Riverine flood,,,USA,El Paso district (Texas province),2006-07-01,2006-08-01,,,100000.0,145172.0
Natural,Hydrological,Flood,Riverine flood,,,China,"Sichuan Sheng, Anhui Sheng, Hubei Sheng, Shaanxi Sheng, Henan Sheng, Jiangsu Sheng, Shandong Sheng provinces",2007-06-01,2007-07-01,535.0,105004000.0,4425655.0,6246620.0
Natural,Hydrological,Flood,Riverine flood,,,China,"Tengchong Xian area (Baoshan district, Yunnan Sheng province), Fuyuan Xian area (Qujing district, Yunnan Sheng province), Yuanjiang Hani-Yi-Dai Zizhi area (Yuxi district, Yunnan Sheng province), Pu'er, Dehong Dai and Jingpo, Lincang districts (Yunnan Sheng province)",2007-07-01,2007-08-01,170.0,386000.0,40000.0,56458.0
Natural,Hydrological,Flood,Riverine flood,,,China,"Luntai Xian, Ruoqiang Xian areas (Bayin'gholin Mongol district, Xinjiang Uygur Zizhiqu province), Huocheng Xian area (Ili Kazakh district, Xinjiang Uygur Zizhiqu province), Kanas, Burqin areas (Altay district, Xinjiang Uygur Zizhiqu province), Changji Hui, Hami, Urumqi districts (Xinjiang Uygur Zizhiqu province)",2007-07-01,2007-08-01,29.0,350000.0,80000.0,112917.0
Natural,Hydrological,Flood,Riverine flood,,,China,"Lushi Xian area (Sanmenxia district, Henan Sheng province)",2007-07-01,2007-08-01,96.0,30000.0,,
Natural,Hydrological,Flood,Riverine flood,,,Indonesia,"Morowali, Donggala, Parigimoutong, Poso, Tojounauna, Banggai, Toli-toli districts (Sulawesi Tengah province)",2007-07-01,2007-08-01,88.0,3389.0,,
Natural,Hydrological,Flood,Flash flood,,,China,Hubei Sheng province,2007-06-01,2007-07-01,9.0,,,
Natural,Hydrological,Flood,Riverine flood,,,China,Ankang district (Shaanxi Sheng province),2007-08-01,2007-09-01,11.0,17500.0,26000.0,36698.0
Natural,Hydrological,Flood,Riverine flood,,,Indonesia,"Kutai Barat, Kutai Kartanegara districts (Kalimantan Timur province)",2007-05-01,2007-06-01,4.0,60000.0,,
Natural,Hydrological,Flood,Riverine flood,,,Indonesia,"Larompong, Suli areas (Luwu district, Sulawesi Selatan province)",2007-07-01,2007-08-01,15.0,2000.0,,
Natural,Biological,Epidemic,Viral disease,,Dengue,Indonesia,"Jakarta, Bogor, Depok, Tangerang, Bekasi ",2007-02-01,2007-03-01,16.0,312.0,,
Natural,Hydrological,Flood,Riverine flood,,,Chile,"Araucania, Biobio, Los Rios, Los Lagos, Maule provinces",2008-08-01,2008-09-01,4.0,104755.0,23000.0,31263.0
Natural,Hydrological,Flood,Riverine flood,,,China,"Guizhou Sheng, Hubei Sheng, Guangxi Zhuangzu Zizhiqu, Hunan Sheng, Jiangxi Sheng, Guangdong Sheng, Sichuan Sheng, Chongquing Shi, Shaanxi Sheng provinces",2008-05-01,2008-06-01,64.0,538166.0,,
Natural,Hydrological,Flood,Riverine flood,,,China,"Yunnan Sheng, Guangxi Zhuangzu Zizhiqu provinces",2008-10-01,2008-11-01,67.0,411000.0,29000.0,39419.0
Natural,Meteorological,Storm,Extra-tropical storm,,Emma,Austria,"Tirol, Salzburg, Niederosterreich provinces",2008-02-01,2008-03-01,4.0,,500000.0,679636.0
Natural,Meteorological,Storm,Tropical cyclone,,"Tropical Storm ""Fung-Wong"" (Igme)",China,"Yuexi Xian area (Anqing district, Anhui Sheng province), Jinzhai Xian area (Lu'an district, Anhui Sheng province), Fuzhou, Quanzhou, Putian districts (Fujian Sheng province), Wenzhou district (Zhejiang Sheng province ), Jiujiang district (Jiangxi Sheng province)",2008-07-01,2008-08-01,1.0,93006.0,73000.0,99227.0
Natural,Hydrological,Flood,Riverine flood,,,Canada,"James Bay area (Cochrane, Kenora districts, North Ontario province)",2008-04-01,2008-05-01,,2000.0,,
Natural,Hydrological,Flood,Riverine flood,,,Australia,"Yamba area (Unincorporated NSW, New South Wales province), Proserpine, Airlie Beach, Bowen areas (Whitsunday district, Queensland province), Giru area (Burdekin district, Queensland province), Georgetown area (Etheridge district, Queensland province), Charleville area (Murweh district, Queensland province), Aramac, Muttaburra, Willow villages (Barcaldine district, Queensland province), Belyando, Clermont villages (Isaac district, Queensland province), Emerald, Sapphire villages (Central Highlands district, Queensland province), hargomindah village (Bulloo district, Queensland province), Mirani, Finch Hatton villages (Mackay district, Queensland province), Cunnamulla village (Paroo district, Queensland province), Townsville, Charters Towers, Longreach, Winton, Barcoo, Quilpie, Blackall Tambo districts (Queensland province)",2008-01-01,2008-02-01,,3200.0,600000.0,815564.0
Natural,Climatological,Drought,Drought,,,China,"Henan Sheng, Anhui Sheng, Shanxi Sheng, Shaanxi Sheng, Shandong Sheng, Hubei Sheng, Gansu Sheng, Hebei Sheng, Jiangsu Sheng provinces",2008-11-01,2009-02-01,,3700000.0,234000.0,318070.0
Natural,Meteorological,Storm,Extra-tropical storm,,Emma,Czech,"Jihocesky, Jihomoravsky, Praha, Severocesky, Severomoravsky, Stredocesky (Libeznice city, Praha-vychod district), Vychodocesky, Zapadocesky provinces",2008-02-01,2008-03-01,2.0,,50000.0,67964.0
Natural,Hydrological,Flood,Riverine flood,,,Indonesia,"Kampar, Kota Pekanbaru, Kuantan Singingi districts (Riau province)",2008-03-01,2008-04-01,,60000.0,,
Natural,Hydrological,Flood,Riverine flood,,,Indonesia,Lombok Barat district (Nusatenggara Barat province),2008-12-01,2009-01-01,24.0,15000.0,,
Natural,Hydrological,Flood,Flash flood,,,Indonesia,"Blora, Sragen, Bojonegoro, Jember, Ngawi, Pasuruan districts (Jawa Timur province), Luwu district (Sulawesi Selatan province)",2009-01-01,2009-02-01,18.0,12000.0,,
Natural,Meteorological,Storm,Tropical cyclone,,"Tropical storm ""Dominic""",Australia,Queensland province,2009-01-01,2009-02-01,,400.0,,
Natural,Hydrological,Flood,Riverine flood,,,China,"Jiangxi Sheng, Hubei Sheng, Hunan Sheng, Guangdong Sheng provinces",2009-04-01,2009-06-01,49.0,5630000.0,,
Natural,Hydrological,Flood,Riverine flood,,,Mexico,"Huitiupan, Ixhuatan, Ixtacomitan, Juarez, Ocotepec, Ostuacan, Pantepec, Pichucalco, Reforma, Solosuchiapa districts (Chiapas province), Tabasco province",2007-10-01,2007-11-01,22.0,1600000.0,3000000.0,4234370.0
Natural,Meteorological,Storm,Tropical cyclone,,Lorenzo,Mexico,"Veracruz, Puebla provinces",2007-09-01,2007-10-01,5.0,33000.0,,
Natural,Hydrological,Flood,Riverine flood,,,USA,"Wichita Falls area (Wichita district, Texas province), Georgetown areas (Williamson district, Texas province), Burnet, Marble Falls, Granite Shoals areas (Burnet district, Texas province), Granbury area (Hood district, Texas province), Lampasas, Parker, Eastland districts (Texas province), Miami, Commerce areas (Ottawa district, Oklahoma province), Shawnee, Tecumseh, Maud areas (Pottawatomie district, Oklahoma province), Oklahoma city (Oklahoma district, Oklahoma province), Waurika area (Jefferson district, Oklahoma province), Bartlesville, Dewey areas (Washington district, Oklahoma province), Love, Lincoln districts (Oklahoma province), Coffeyville area (Montgomery district, Kansas province), Osawatomie area (Miami district, Kansas province), Allen, Labette, Neosho, Wilson, Woodson districts (Kansas province), Rockville, Papinville areas (Bates district, Missouri province), Vernon district (Missouri province)",2007-06-01,2007-07-01,8.0,5000.0,,
Natural,Meteorological,Storm,Tropical cyclone,,Fitow (9),Japan,"Tookyoo, Hokkaidoo, Nagano provinces",2007-08-01,2007-09-01,4.0,982.0,1000000.0,1411457.0
Natural,Hydrological,Flood,Riverine flood,,Monsoonal rain,Thailand,"Phetchabun, Loei, Kalasin, Mukdahan, Chiang Rai, Phichit provinces",2007-09-01,2007-11-01,10.0,17000.0,,
Natural,Hydrological,Flood,Riverine flood,,,Turkey,"Ugurtas, Kacmaz, Karlica Demirkapi, Seyithanbey, Danakiran, Karayseyitali villages (Habur area, Hamur district, Agri province), Ercis area (Ercis district, Van province), Kalkanli area (Hizan district, Bitlis province), Bilek area (Sehitkamil district, Gaziantep province)",2007-05-01,2007-06-01,13.0,750.0,,
Natural,Climatological,Wildfire,Forest fire,,,USA,"Alpine, Amador, Calaveras, El Dorado, Mono, Placer, Tuolumne districts (California province)",2007-06-01,2007-07-01,,768.0,,
Natural,Climatological,Drought,Drought,,,USA,"California, Georgia, Maryland provinces",2007-10-01,2009-06-01,,,300000.0,423437.0
Natural,Hydrological,Flood,Riverine flood,,,USA,"Missouri, Mississippi, Arkansas, Indiana, Illinois, Ohio, Kentucky, Oklahoma, Iowa, Wisconsin, Texas provinces",2008-03-01,2008-04-01,18.0,1000.0,2000.0,2719.0
Natural,Hydrological,Flood,Flash flood,,,Thailand,"Nakhon Si Thammarat, Surat Thani, Narathiwat, Phatthalung, Songkhla, Yala, Trang, Chumphon, Pattani provinces",2008-11-01,2008-12-01,21.0,700000.0,11500.0,15632.0
Natural,Hydrological,Flood,Flash flood,,,Thailand,"Phatthalung, Yala, Narathiwat provinces",2008-12-01,2009-01-01,,32584.0,344.0,468.0
Natural,Hydrological,Flood,Riverine flood,,,Thailand,"Phitsanulok, Lopburi, Phra Nakhon Si Ayudhya",2008-09-01,2008-10-01,18.0,839573.0,16000.0,21748.0
Natural,Hydrological,Flood,Riverine flood,,,USA,"Orting town (Pierce district, Washington province), Chehalus town (Lewis district, Washington), Oregon province",2008-12-01,2009-01-01,,30000.0,,
Natural,Climatological,Wildfire,Forest fire,,,USA,California province,2008-06-01,2008-07-01,1.0,300.0,102000.0,138646.0
Natural,Hydrological,Flood,Riverine flood,,,USA,"North Dakota, Minnesota provinces",2009-03-01,2009-04-01,2.0,5060.0,166000.0,226444.0
Natural,Hydrological,Flood,Riverine flood,,,China,"Changning area (Yibin district, Sichuan Sheng province)",2009-08-01,2009-09-01,12.0,118000.0,,
Natural,Hydrological,Flood,Riverine flood,,,China,"Panzhihua city (Panzhihua district, Sichuan Sheng province), Guizhou Sheng, Jiangxi Sheng provinces",2009-07-01,2009-08-01,20.0,38.0,33000.0,45016.0
Natural,Climatological,Drought,Drought,,,China,"Yunnan Sheng, Guizhou Sheng, Sichuan Sheng, Guangxi Zhuangzu Zizhiqu, Chongqing Shi provinces",2009-10-01,2010-05-01,,60000000.0,3600000.0,4910843.0
Natural,Hydrological,Flood,Riverine flood,,,Australia,"Queensland, New South Wales provinces",2009-01-01,2009-02-01,7.0,9000.0,150000.0,204618.0
Natural,Climatological,Drought,Drought,,,China,"Chaiyang, Fuxin, Jinzhou, Huludao districts (Liaoning Sheng province)",2009-06-01,2009-07-01,,160000.0,,
Natural,Hydrological,Flood,Riverine flood,,,China,"Ankang, Hanzhong, Shangluo districts (Shaanxi Sheng province), Fujian Sheng, Sichuan Sheng, Guangxi Zhuangzu Zizhiqu, Zhejiang Sheng, Hunan Sheng, Guangdong Sheng, Guizhou Sheng, Hubei Sheng, Yunnan Sheng, Henan Sheng, Jilin Sheng, Anhui Sheng, Jiangsu Sheng, Chongqing Shi, Shangai Shi, Gansu Sheng provinces",2010-05-01,2010-08-01,1691.0,134000000.0,18000000.0,24158011.0
Natural,Hydrological,Flood,Riverine flood,,,Indonesia,"Ciwidey village (Bandung district, Jawa Barat province)",2010-02-01,2010-03-01,44.0,100.0,,
Natural,Climatological,Drought,Drought,,,China,"Anhui Sheng, Gansu Sheng, Henan Sheng, Hebei Sheng, Jiangsu Sheng, Shaanxi Sheng, Shandong Sheng, Shanxi Sheng provinces",2010-12-01,2011-05-01,,35000000.0,2370000.0,3180805.0
Natural,Hydrological,Flood,Riverine flood,,,Australia,"Charleville town (Murweh district, Queensland province), Roma town (Maranoa district, Queensland province), Thallon, Bollon, Dirranbandi towns (Balonne district, Queensland province), Brisbane district (Queensland province),",2010-02-01,2010-03-01,,,109000.0,146290.0
Natural,Hydrological,Flood,Riverine flood,,,Australia,"Benalla, Buloke, Campaspe, Gannawarra, Greater Shepparton, Hindmarsh, Indigo, Loddon, Mildura, Moira, Swan Hill, Towong, Wangaratta, Wodonga, Yarriambiack districts (North Central Victoria province), Queensland, New South Wales provinces",2010-11-01,2010-12-01,,1000.0,,
Natural,Hydrological,Flood,Riverine flood,,,Australia,"New South Wales, Queensland, Victoria provinces",2010-12-01,2011-02-01,35.0,175000.0,7300000.0,9797416.0
Natural,Hydrological,Flood,Riverine flood,,,China,Jilin Sheng province,2010-06-01,2010-08-01,152.0,6000000.0,,
Natural,Hydrological,Landslide,Landslide,,,China,Guangxi Zhuangzu Zizhiqu province,2010-05-01,2010-06-01,52.0,2100000.0,,
Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Sinabung,Indonesia,"Suka Meriah, Guru Kinayan, Gamber, Kuta Gugung, Siragong-Grang, Bekerah, Simacem, Sukanalu, Naman, Kebayaken, Kuta Rayat, Kuta Mbelin villages (Karo district, Sumatera Utara province)",2010-08-01,2010-09-01,1.0,15060.0,,
Natural,Hydrological,Flood,Riverine flood,,,Canada,"Manitoba, Saskatchewan, Quebec, Alberta provinces",2011-04-01,2011-05-01,5.0,2000.0,800000.0,1040832.0
Natural,Biological,Epidemic,Viral disease,,Dengue,Mexico,"Tabasco, Veracruz, Quintana Roo, Nayarit, Jalisco, Guerrero",2009-10-01,2009-12-01,,41687.0,,
Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,USA,"Los Angeles, Monterey districts (California province)",2009-07-01,2009-10-01,2.0,192.0,,
Natural,Hydrological,Flood,Riverine flood,,,Mexico,"Distrito Federal, Mexico city, Michoacan provinces",2010-01-01,2010-02-01,41.0,20000.0,16000.0,21474.0
Natural,Meteorological,Storm,Tropical cyclone,,"Tropical storm ""Alex""",Mexico,"Nuevo Leon, Coahuila, Tamaulipas, Oaxaca provinces",2010-06-01,2010-07-01,22.0,170000.0,2000000.0,2684223.0
Natural,Meteorological,Storm,Convective storm,Severe storm,,USA,"Alabama, Arkansas, Mississippi, Kentucky, Tennessee provinces",2010-04-01,2010-05-01,30.0,8000.0,2350000.0,3153963.0
Natural,Hydrological,Flood,Riverine flood,,,Cambodia,"Banteay Meanchey, Battambang, Otdar Meanchey, Pailin, Preah Vihear, Pursat provinces",2010-10-01,2010-11-01,8.0,,70000.0,93948.0
Natural,Hydrological,Flood,Riverine flood,,,Thailand,"Chainat, Singburi, Ang Thong, Suphanburi, Phra Nakhon Si Ayudhya, Lopburi, Nakhon Sawan, Saraburi, Nakhon Nayok, Nonthaburi, Pathum Thani, Nakhon Pathom, Uthai Thani, Samut Prakarn, Chaiyaphum, Si Saket, Surin, Buriram, Khon Kaen, Kalasin, Maha Sarakham, Ubon Ratchathani, Nong Bua Lamphu, Nakhon Ratchasima, Roi Et, Songkhla, Satun, Trang, Narathiwat, Pattani, Phatthalung, Yala, Surat Thani, Nakhon Si Thammarat, Krabi, Chumphon, Ranong provinces",2010-10-01,2010-12-01,258.0,8970653.0,332000.0,445581.0
