Month,Average CNY/EUR=,Min CNY/EUR=,Max CNY/EUR=,Nb of working days
6/2023,0.129492,0.126797,0.131510,17
5/2023,0.131667,0.130654,0.132238,23
4/2023,0.132444,0.130798,0.133633,20
3/2023,0.135497,0.133515,0.137240,23
2/2023,0.136532,0.135358,0.137726,20
1/2023,0.136668,0.135331,0.138802,22
12/2022,0.135395,0.134718,0.136381,21
11/2022,0.136694,0.132756,0.141056,22
10/2022,0.141496,0.137832,0.144209,21
9/2022,0.143875,0.141910,0.145416,22
8/2022,0.145176,0.143538,0.147163,23
7/2022,0.145917,0.142904,0.148109,21
6/2022,0.141384,0.139305,0.143629,22
5/2022,0.141197,0.138843,0.143786,22
4/2022,0.143674,0.142049,0.145056,19
3/2022,0.143035,0.141511,0.145338,23
2/2022,0.138984,0.137131,0.141641,20
1/2022,0.139047,0.137150,0.141129,21
12/2021,0.138904,0.138318,0.139526,23
11/2021,0.137145,0.134700,0.139665,22
10/2021,0.134230,0.133310,0.134909,21
9/2021,0.131571,0.130429,0.133606,22
8/2021,0.131172,0.130178,0.131832,22
7/2021,0.130658,0.130137,0.131315,22
6/2021,0.129218,0.128134,0.130516,22
5/2021,0.128028,0.127236,0.129162,21
4/2021,0.128123,0.127449,0.129542,20
3/2021,0.129092,0.128254,0.130188,23
2/2021,0.127984,0.126746,0.128974,20
1/2021,0.127020,0.125545,0.128128,20
12/2020,0.125628,0.124649,0.127163,22
11/2020,0.127957,0.126907,0.128502,21
10/2020,0.126228,0.124800,0.127946,22
9/2020,0.124490,0.122341,0.125892,22
8/2020,0.122022,0.121253,0.123059,21
7/2020,0.124480,0.121011,0.126659,23
6/2020,0.125420,0.124457,0.126253,22
5/2020,0.129077,0.125856,0.130844,20
4/2020,0.130113,0.128778,0.131132,20
3/2020,0.128760,0.125628,0.131719,22
2/2020,0.131065,0.128732,0.132384,20
1/2020,0.130160,0.128125,0.131385,22
12/2019,0.128248,0.127593,0.128824,20
11/2019,0.128917,0.127486,0.129676,21
10/2019,0.127476,0.126542,0.128365,23
9/2019,0.127679,0.126589,0.128697,21
8/2019,0.127270,0.125756,0.131273,22
7/2019,0.129619,0.128690,0.130902,23
6/2019,0.128311,0.127608,0.129445,20
5/2019,0.130326,0.129291,0.133113,22
4/2019,0.132471,0.131685,0.133349,20
3/2019,0.131810,0.131007,0.132631,21
2/2019,0.130747,0.129430,0.131662,20
1/2019,0.129033,0.127517,0.130380,22
12/2018,0.127557,0.126635,0.128455,19
11/2018,0.126777,0.125903,0.127626,22
10/2018,0.125820,0.124789,0.126902,23
9/2018,0.125116,0.123521,0.126456,20
8/2018,0.126440,0.125177,0.127717,23
7/2018,0.127396,0.124722,0.129522,22
6/2018,0.132443,0.129584,0.134295,21
5/2018,0.132825,0.130971,0.134818,22
4/2018,0.129291,0.128492,0.130690,20
3/2018,0.128238,0.127071,0.129383,21
2/2018,0.128100,0.126165,0.129391,20
1/2018,0.127556,0.126518,0.128508,22
12/2017,0.128086,0.127306,0.128713,19
11/2017,0.128670,0.126735,0.130293,22
10/2017,0.128388,0.127686,0.129592,22
9/2017,0.127787,0.126666,0.128703,21
8/2017,0.126954,0.125381,0.128108,23
7/2017,0.128272,0.126443,0.129769,21
6/2017,0.130792,0.129179,0.131645,22
5/2017,0.131369,0.129104,0.133410,22
4/2017,0.135347,0.132684,0.136945,18
3/2017,0.135713,0.133520,0.138123,23
2/2017,0.136726,0.134450,0.138292,20
1/2017,0.136638,0.135190,0.138341,22
12/2016,0.137027,0.135060,0.138689,21
11/2016,0.135363,0.133364,0.137039,22
10/2016,0.134777,0.133401,0.135823,21
9/2016,0.133658,0.132844,0.134438,22
8/2016,0.134167,0.132730,0.135505,23
7/2016,0.135302,0.134090,0.136405,21
6/2016,0.135098,0.133449,0.136784,22
5/2016,0.135391,0.133310,0.136732,22
4/2016,0.136128,0.135239,0.137043,21
3/2016,0.138484,0.136029,0.141269,21
2/2016,0.137654,0.134063,0.140152,21
1/2016,0.140075,0.139105,0.142706,20
12/2015,0.142492,0.140619,0.147475,22
11/2015,0.146216,0.143033,0.147905,21
10/2015,0.140186,0.137773,0.143968,22
9/2015,0.139939,0.137601,0.141259,22
8/2015,0.141702,0.135527,0.147973,21
7/2015,0.146488,0.143984,0.148416,23
6/2015,0.143718,0.141271,0.147477,22
5/2015,0.144610,0.141219,0.148505,20
4/2015,0.149590,0.143744,0.152551,20
3/2015,0.147936,0.141933,0.151556,22
2/2015,0.140928,0.139792,0.141989,20
1/2015,0.138420,0.133763,0.143369,21
12/2014,0.131018,0.128826,0.132700,21
11/2014,0.130873,0.130168,0.131794,20
10/2014,0.128812,0.127314,0.130618,23
9/2014,0.126265,0.123805,0.129430,22
8/2014,0.122009,0.120571,0.123557,21
7/2014,0.119140,0.117809,0.121035,23
6/2014,0.118068,0.117182,0.119022,21
5/2014,0.116750,0.115087,0.117751,21
4/2014,0.116305,0.115319,0.117496,20
3/2014,0.117195,0.115993,0.118866,21
2/2014,0.120405,0.117811,0.122294,20
1/2014,0.121407,0.120758,0.122187,22
12/2013,0.120126,0.119273,0.121243,20
11/2013,0.121626,0.120546,0.122820,21
10/2013,0.120158,0.119050,0.121457,23
9/2013,0.122428,0.120646,0.124581,21
8/2013,0.122736,0.121920,0.123570,22
7/2013,0.124650,0.122773,0.127225,23
6/2013,0.123611,0.121745,0.125375,20
5/2013,0.125457,0.123147,0.126738,22
4/2013,0.124130,0.123019,0.125978,21
3/2013,0.124077,0.122831,0.126040,20
2/2013,0.120090,0.117696,0.122728,20
1/2013,0.120937,0.118670,0.123346,22
12/2012,0.122244,0.120624,0.124443,19
11/2012,0.125009,0.123503,0.126397,22
10/2012,0.122869,0.121616,0.124177,23
9/2012,0.123058,0.120853,0.125493,20
8/2012,0.126809,0.124903,0.128223,23
7/2012,0.127745,0.125081,0.129535,22
6/2012,0.125514,0.123749,0.127411,21
5/2012,0.123779,0.120755,0.126711,22
4/2012,0.120599,0.119281,0.121581,19
3/2012,0.120014,0.118922,0.120973,22
2/2012,0.120037,0.117972,0.122225,21
1/2012,0.122768,0.120307,0.124963,22
12/2011,0.119700,0.116428,0.122758,21
11/2011,0.116085,0.113915,0.118614,22
10/2011,0.114578,0.111040,0.119249,21
9/2011,0.113680,0.109724,0.116546,22
8/2011,0.108869,0.107821,0.110574,23
7/2011,0.108564,0.106708,0.110742,21
6/2011,0.107353,0.105304,0.109636,22
5/2011,0.107330,0.103481,0.109666,22
4/2011,0.106088,0.103674,0.108001,19
3/2011,0.108838,0.107482,0.110435,23
2/2011,0.111313,0.109996,0.112788,20
1/2011,0.113472,0.110582,0.116760,21
12/2010,0.113807,0.111843,0.115227,23
11/2010,0.110079,0.105357,0.115396,22
10/2010,0.107920,0.106629,0.109048,21
9/2010,0.113538,0.109504,0.116093,22
8/2010,0.114284,0.111503,0.116660,22
7/2010,0.115611,0.112922,0.120171,22
6/2010,0.120138,0.118408,0.122612,22
5/2010,0.116618,0.110678,0.119768,21
4/2010,0.109291,0.107606,0.110618,20
3/2010,0.107973,0.106436,0.109825,23
2/2010,0.107006,0.104753,0.108593,20
1/2010,0.102647,0.100584,0.104884,20
12/2009,0.100259,0.096877,0.102583,22
11/2009,0.098230,0.097111,0.099915,21
10/2009,0.098870,0.097500,0.100772,22
9/2009,0.100585,0.099098,0.102947,22
8/2009,0.102584,0.101592,0.103947,21
7/2009,0.103907,0.102594,0.105286,23
6/2009,0.104407,0.102816,0.105675,22
5/2009,0.107380,0.103882,0.110839,20
4/2009,0.111001,0.108446,0.113181,20
3/2009,0.112252,0.107058,0.116575,22
2/2009,0.114416,0.112494,0.116162,20
1/2009,0.110553,0.105699,0.114296,21
12/2008,0.108673,0.100180,0.115202,21
11/2008,0.115019,0.113213,0.116896,20
10/2008,0.109947,0.103698,0.117123,23
9/2008,0.101801,0.099631,0.104823,22
8/2008,0.097502,0.093765,0.100077,21
7/2008,0.092760,0.091685,0.093959,23
6/2008,0.093212,0.091514,0.094477,21
5/2008,0.092202,0.091211,0.093015,21
4/2008,0.090719,0.089795,0.092093,22
3/2008,0.091057,0.089526,0.092589,19
2/2008,0.094633,0.092713,0.095913,21
1/2008,0.093842,0.092581,0.095421,22
12/2007,0.093117,0.091692,0.094568,19
11/2007,0.091783,0.090950,0.093032,22
10/2007,0.093688,0.092726,0.094772,23
9/2007,0.095678,0.093844,0.097537,20
8/2007,0.096939,0.095706,0.098105,23
7/2007,0.096249,0.095591,0.096868,22
6/2007,0.097645,0.096711,0.098561,21
5/2007,0.096447,0.095339,0.097443,22
4/2007,0.095790,0.094951,0.096858,19
3/2007,0.097596,0.096882,0.098626,22
2/2007,0.098695,0.097637,0.099691,20
1/2007,0.098785,0.096549,0.099685,22
12/2006,0.096756,0.095903,0.097651,19
11/2006,0.098740,0.096711,0.099894,22
10/2006,0.100353,0.099330,0.101019,22
9/2006,0.099042,0.098014,0.099934,21
8/2006,0.097905,0.097174,0.098544,23
7/2006,0.098675,0.097771,0.100114,21
6/2006,0.098740,0.096350,0.099951,22
5/2006,0.097705,0.096695,0.099065,22
4/2006,0.101679,0.099500,0.103352,18
3/2006,0.103544,0.102220,0.104373,23
2/2006,0.104045,0.102595,0.104916,20
1/2006,0.102436,0.100881,0.104780,22
12/2005,0.104449,0.103032,0.105799,21
11/2005,0.104970,0.102732,0.106020,22
10/2005,0.102895,0.101761,0.103560,21
9/2005,0.100848,0.098521,0.102940,22
8/2005,0.100416,0.099131,0.101386,23
7/2005,0.101113,0.099244,0.102867,21
6/2005,0.099405,0.098117,0.100314,22
5/2005,0.095274,0.093345,0.098061,22
4/2005,0.093464,0.092467,0.094394,21
3/2005,0.091614,0.090130,0.093547,21
2/2005,0.092925,0.091191,0.094749,20
1/2005,0.092164,0.089523,0.093475,21
12/2004,0.090195,0.088696,0.091668,23
11/2004,0.093091,0.090951,0.095174,22
10/2004,0.096836,0.094527,0.098573,21
9/2004,0.098975,0.097445,0.100439,22
8/2004,0.099319,0.097839,0.100909,22
7/2004,0.098592,0.097421,0.100548,22
6/2004,0.099584,0.098156,0.100757,22
5/2004,0.100717,0.098742,0.102456,21
4/2004,0.100902,0.098149,0.102248,20
3/2004,0.098621,0.096859,0.099785,23
2/2004,0.095625,0.094042,0.097374,20
1/2004,0.095876,0.094262,0.097728,21
12/2003,0.098442,0.095739,0.100976,21
11/2003,0.103358,0.100816,0.105846,20
10/2003,0.103424,0.102578,0.104430,23
9/2003,0.107817,0.103775,0.112139,22
8/2003,0.108590,0.106144,0.111796,21
7/2003,0.106341,0.104755,0.108564,23
6/2003,0.103691,0.102007,0.105948,21
5/2003,0.104432,0.101604,0.107790,21
4/2003,0.111489,0.108633,0.114269,20
3/2003,0.111921,0.109133,0.114398,21
2/2003,0.112246,0.110833,0.112945,20
1/2003,0.113863,0.111241,0.116526,22
12/2002,0.118780,0.115304,0.122499,20
11/2002,0.120761,0.119414,0.122079,21
10/2002,0.123250,0.122264,0.124211,23
9/2002,0.123295,0.121222,0.125318,21
8/2002,0.123674,0.122474,0.124826,22
7/2002,0.121889,0.119179,0.124338,23
6/2002,0.126606,0.121222,0.129839,20
5/2002,0.131879,0.128815,0.133908,22
4/2002,0.136512,0.133790,0.137988,21
3/2002,0.138072,0.136585,0.139807,20
2/2002,0.138985,0.137502,0.140082,20
1/2002,0.136926,0.133790,0.140964,22
12/2001,0.135600,0.133627,0.137439,19
11/2001,0.136108,0.132922,0.137752,22
10/2001,0.133501,0.131234,0.136063,23
9/2001,0.132745,0.130455,0.136554,20
8/2001,0.134320,0.131205,0.137988,23
7/2001,0.140527,0.137517,0.144226,22
6/2001,0.141736,0.139597,0.142846,21
5/2001,0.138359,0.135271,0.142593,22
4/2001,0.135613,0.133878,0.137847,19
3/2001,0.133002,0.129146,0.136910,22
2/2001,0.131211,0.128296,0.133524,20
1/2001,0.128893,0.126683,0.132210,22
12/2000,0.134816,0.129881,0.138430,19
11/2000,0.141212,0.138510,0.143848,22
10/2000,0.141455,0.137377,0.146533,22
9/2000,0.138687,0.134354,0.142660,21
8/2000,0.133763,0.130526,0.135772,23
7/2000,0.128700,0.126723,0.131205,21
6/2000,0.127407,0.125071,0.129644,22
5/2000,0.133496,0.129201,0.136247,22
4/2000,0.127734,0.125007,0.133097,18
3/2000,0.125394,0.124338,0.126710,23
2/2000,0.122970,0.120102,0.125448,21
1/2000,0.119315,0.116403,0.123500,21
12/1999,0.119639,0.118096,0.120738,23
11/1999,0.116983,0.114377,0.119995,22
10/1999,0.112952,0.111251,0.115679,21
9/1999,0.115165,0.113199,0.116920,22
8/1999,0.114048,0.112055,0.115900,22
7/1999,0.116842,0.113030,0.119438,22
6/1999,0.116523,0.115447,0.117625,22
5/1999,0.113782,0.111972,0.115646,21
4/1999,0.112969,0.111272,0.114279,22
3/1999,0.111115,0.109807,0.113093,23
2/1999,0.107903,0.106612,0.110237,20
1/1999,0.104153,0.102561,0.106218,21
12/1998,0.103261,0.102102,0.103967,23
11/1998,0.103944,0.102082,0.105561,21
10/1998,0.101306,0.099683,0.102621,22
9/1998,0.105141,0.102846,0.108372,22
8/1998,0.110400,0.109252,0.111627,21
7/1998,0.110965,0.108979,0.112819,23
6/1998,0.110554,0.109340,0.112028,22
5/1998,0.109647,0.108805,0.110798,21
4/1998,0.111980,0.110576,0.114319,22
3/1998,0.112641,0.111445,0.113789,22
2/1998,0.111990,0.110713,0.113029,20
1/1998,0.111965,0.109933,0.113502,22
12/1997,0.109524,0.108817,0.110444,23
11/1997,0.106764,0.105067,0.108687,20
10/1997,0.108342,0.105712,0.109967,23
9/1997,0.110339,0.108410,0.112365,22
8/1997,0.113528,0.110839,0.116347,21
7/1997,0.110425,0.107583,0.113648,23
6/1997,0.106686,0.106007,0.107563,21
5/1997,0.105371,0.104253,0.106929,22
4/1997,0.105698,0.103229,0.107020,22
3/1997,0.104915,0.103808,0.106286,21
2/1997,0.103563,0.101624,0.105219,20
1/1997,0.098911,0.095586,0.102064,23
12/1996,0.095344,0.094200,0.096063,22
11/1996,0.093098,0.092351,0.094391,21
10/1996,0.094116,0.092987,0.094948,23
9/1996,0.093023,0.091792,0.094146,21
8/1996,0.091781,0.091236,0.092373,22
7/1996,0.092815,0.090953,0.094183,23
6/1996,0.094141,0.093409,0.094680,20
5/1996,0.094439,0.093441,0.095408,23
4/1996,0.092842,0.091619,0.094318,22
3/1996,0.091645,0.091252,0.092086,21
2/1996,0.091356,0.090097,0.092544,21
1/1996,0.090909,0.089133,0.092942,23
12/1995,0.090092,0.089384,0.090803,21
11/1995,0.088786,0.087981,0.089966,22
10/1995,0.088992,0.087647,0.089953,22
9/1995,0.091434,0.089078,0.092932,21
8/1995,0.090427,0.087143,0.093114,23
7/1995,0.087589,0.086745,0.088502,21
6/1995,0.088594,0.087568,0.090385,22
5/1995,0.089162,0.086624,0.091797,23
4/1995,0.086730,0.085672,0.088058,20
3/1995,0.088325,0.086780,0.091089,23
2/1995,0.092659,0.090789,0.094144,20
1/1995,0.094041,0.092603,0.095516,22
12/1994,0.095652,0.094835,0.096335,22
11/1994,0.093064,0.090356,0.095071,22
10/1994,0.091640,0.089985,0.093770,21
9/1994,0.093425,0.092749,0.094956,22
8/1994,0.093741,0.092116,0.095052,23
7/1994,0.093293,0.090923,0.094887,21
6/1994,0.096292,0.093690,0.098644,22
5/1994,0.097893,0.096941,0.099170,22
4/1994,0.099516,0.097521,0.100715,21
3/1994,0.099482,0.098132,0.100937,23
2/1994,0.101774,0.100673,0.103012,20
1/1994,0.102293,0.101668,0.102944,21
12/1993,0.151020,0.149497,0.153016,23
11/1993,0.151217,0.150250,0.152161,22
10/1993,0.146651,0.143118,0.150739,21
9/1993,0.144862,0.141942,0.148602,22
8/1993,0.151200,0.148493,0.154538,22
7/1993,0.150875,0.148241,0.154327,22
6/1993,0.144966,0.140551,0.149555,22
5/1993,0.141566,0.138992,0.144178,21
4/1993,0.141286,0.139128,0.143172,22
3/1993,0.145523,0.143241,0.147494,23
2/1993,0.143572,0.141961,0.145248,20
1/1993,0.141031,0.136991,0.143945,21
12/1992,0.136997,0.132350,0.141681,23
11/1992,0.141211,0.139822,0.143586,21
10/1992,0.134201,0.128398,0.138859,22
9/1992,0.130498,0.125308,0.136326,22
8/1992,0.130937,0.127605,0.133201,21
7/1992,0.133708,0.130744,0.135635,23
6/1992,0.140157,0.135574,0.143244,22
5/1992,0.143523,0.140878,0.146678,21
4/1992,0.146361,0.145006,0.147648,22
3/1992,0.148168,0.145927,0.149445,22
2/1992,0.144721,0.140804,0.147878,20
1/1992,0.141465,0.136123,0.145657,23
12/1991,0.141521,0.136835,0.146337,22
11/1991,0.147700,0.143853,0.152131,21
10/1991,0.153440,0.150881,0.155682,23
9/1991,0.154201,0.151811,0.158040,21
8/1991,0.158755,0.156255,0.165221,22
7/1991,0.162731,0.159254,0.166370,23
6/1991,0.162375,0.159142,0.164945,20
5/1991,0.157209,0.155080,0.159721,23
4/1991,0.157493,0.153322,0.162558,22
3/1991,0.150018,0.142665,0.159876,21
2/1991,0.138335,0.135942,0.142447,20
1/1991,0.141176,0.138592,0.144893,23
12/1990,0.140355,0.137579,0.143970,21
11/1990,0.146775,0.137247,0.156482,22
10/1990,0.156948,0.155353,0.160298,23
9/1990,0.161400,0.159715,0.163930,20
8/1990,0.161341,0.158437,0.165876,23
7/1990,0.168185,0.163545,0.170163,22
6/1990,0.173005,0.170684,0.174470,21
5/1990,0.171200,0.168809,0.173946,23
4/1990,0.173729,0.172279,0.175445,21
3/1990,0.176038,0.174022,0.177359,22
2/1990,0.173641,0.171367,0.175324,20
1/1990,0.175666,0.173555,0.178033,23
12/1989,0.206245,0.174737,0.234688,21
11/1989,0.240010,0.234413,0.243848,22
10/1989,0.244608,0.240588,0.250469,22
9/1989,0.254403,0.244596,0.259502,21
8/1989,0.250921,0.241295,0.255543,23
7/1989,0.247257,0.243315,0.252806,21
6/1989,0.258558,0.254831,0.266118,22
5/1989,0.253504,0.245082,0.262448,23
4/1989,0.244129,0.241465,0.246760,20
3/1989,0.243606,0.240337,0.246927,23
2/1989,0.241942,0.237600,0.246088,20
1/1989,0.239173,0.230648,0.243943,22
