Month,Average CNY/TWD=,Min CNY/TWD=,Max CNY/TWD=,Nb of working days
7/2023,4.302961,4.294520,4.308376,3
6/2023,4.307268,4.271385,4.335370,22
5/2023,4.395609,4.316273,4.452310,23
4/2023,4.441709,4.426807,4.453310,20
3/2023,4.434035,4.408840,4.456836,23
2/2023,4.417316,4.304088,4.438743,20
1/2023,4.476038,4.443296,4.513905,22
12/2022,4.399316,4.331705,4.455023,21
11/2022,4.379841,4.286393,4.479477,22
10/2022,4.443488,4.408838,4.479561,21
9/2022,4.444073,4.406404,4.482920,22
8/2022,4.427684,4.391890,4.468838,23
7/2022,4.438917,4.426746,4.471962,21
6/2022,4.424848,4.364516,4.462707,22
5/2022,4.416454,4.354576,4.470374,22
4/2022,4.516856,4.465490,4.587185,19
3/2022,4.481882,4.429803,4.526539,23
2/2022,4.393001,4.355321,4.456624,20
1/2022,4.355271,4.323676,4.390763,21
12/2021,4.358246,4.330797,4.379523,23
11/2021,4.352060,4.337285,4.365170,22
10/2021,4.350535,4.315689,4.370133,21
9/2021,4.291969,4.273752,4.305254,22
8/2021,4.302637,4.278494,4.320681,22
7/2021,4.325573,4.297812,4.350259,22
6/2021,4.326812,4.307312,4.341767,22
5/2021,4.339725,4.306117,4.363348,21
4/2021,4.330012,4.288397,4.359861,20
3/2021,4.342152,4.296397,4.379387,23
2/2021,4.327257,4.306346,4.352578,20
1/2021,4.327003,4.313287,4.356696,20
12/2020,4.314749,4.297102,4.355020,22
11/2020,4.322722,4.263252,4.348741,21
10/2020,4.265325,4.213865,4.310994,22
9/2020,4.287241,4.252303,4.316457,22
8/2020,4.243149,4.197413,4.288303,21
7/2020,4.201427,4.163173,4.220003,23
6/2020,4.188608,4.157539,4.217452,22
5/2020,4.215616,4.197780,4.238941,20
4/2020,4.250891,4.216773,4.278764,20
3/2020,4.286913,4.220784,4.327852,22
2/2020,4.311972,4.288497,4.346257,20
1/2020,4.337848,4.299982,4.383401,22
12/2019,4.317093,4.299097,4.340069,20
11/2019,4.341853,4.325369,4.357423,21
10/2019,4.323487,4.304312,4.353969,23
9/2019,4.370083,4.350026,4.396455,21
8/2019,4.442888,4.380339,4.535958,22
7/2019,4.519180,4.507798,4.549696,23
6/2019,4.531868,4.504698,4.563994,20
5/2019,4.556375,4.518428,4.590034,22
4/2019,4.592634,4.577554,4.606991,20
3/2019,4.596731,4.583827,4.609239,21
2/2019,4.570904,4.538330,4.603960,20
1/2019,4.541725,4.475582,4.578816,22
12/2018,4.471243,4.444769,4.500508,19
11/2018,4.441060,4.427680,4.458561,22
10/2018,4.464590,4.438533,4.508507,23
9/2018,4.484489,4.430368,4.521053,20
8/2018,4.485702,4.466723,4.507066,23
7/2018,4.550344,4.473339,4.607774,22
6/2018,4.655630,4.603794,4.691729,21
5/2018,4.687263,4.600181,4.707557,22
4/2018,4.642192,4.614407,4.660594,20
3/2018,4.623747,4.605511,4.643700,21
2/2018,4.627986,4.569550,4.669408,20
1/2018,4.578651,4.539728,4.635832,22
12/2017,4.544128,4.531264,4.569737,19
11/2017,4.544705,4.521945,4.565408,22
10/2017,4.569528,4.542534,4.605377,22
9/2017,4.590552,4.559515,4.648931,21
8/2017,4.534609,4.494312,4.572901,23
7/2017,4.490071,4.468766,4.500910,21
6/2017,4.441053,4.392568,4.490959,22
5/2017,4.375777,4.355353,4.413516,22
4/2017,4.411272,4.374801,4.444570,18
3/2017,4.444659,4.385493,4.499647,23
2/2017,4.494195,4.466324,4.539874,20
1/2017,4.598117,4.534341,4.665296,22
12/2016,4.624528,4.597213,4.666147,21
11/2016,4.641384,4.601937,4.693568,22
10/2016,4.693009,4.658738,4.720721,21
9/2016,4.716023,4.687688,4.754685,22
8/2016,4.746865,4.672509,4.789012,23
7/2016,4.809446,4.776296,4.847084,21
6/2016,4.909819,4.847115,4.987445,22
5/2016,4.985030,4.949240,5.019988,22
4/2016,4.990206,4.967622,5.008583,21
3/2016,5.019224,4.976461,5.055917,21
2/2016,5.075659,5.013389,5.108334,21
1/2016,5.087183,5.050035,5.132256,20
12/2015,5.089491,5.058323,5.135696,22
11/2015,5.124193,5.092509,5.158594,21
10/2015,5.111614,5.045463,5.204673,22
9/2015,5.129597,5.073292,5.209408,22
8/2015,5.078408,5.011183,5.145481,21
7/2015,5.023616,4.980620,5.098235,23
6/2015,4.980454,4.944017,5.023548,22
5/2015,4.934616,4.899583,4.971493,20
4/2015,4.996442,4.915785,5.045836,20
3/2015,5.038819,5.002645,5.080126,22
2/2015,5.047033,5.004726,5.079540,20
1/2015,5.089362,4.981150,5.152248,21
12/2014,5.066235,5.038926,5.112450,21
11/2014,5.017057,4.981196,5.047805,20
10/2014,4.963877,4.950930,4.983183,23
9/2014,4.905927,4.862276,4.959656,22
8/2014,4.869423,4.855026,4.883930,21
7/2014,4.833762,4.810151,4.865666,23
6/2014,4.813402,4.800256,4.835034,21
5/2014,4.829817,4.798661,4.846942,21
4/2014,4.852569,4.820673,4.889748,20
3/2014,4.927682,4.898824,4.945905,21
2/2014,4.984791,4.930957,5.009175,20
1/2014,4.981617,4.943939,5.018482,22
12/2013,4.891268,4.853226,4.946994,20
11/2013,4.845555,4.819740,4.864950,21
10/2013,4.814965,4.794033,4.832630,23
9/2013,4.843970,4.812123,4.874760,21
8/2013,4.892520,4.877114,4.904433,22
7/2013,4.884333,4.852302,4.917296,23
6/2013,4.879718,4.840177,4.925048,20
5/2013,4.857474,4.796335,4.904445,22
4/2013,4.824719,4.784845,4.844325,21
3/2013,4.786753,4.765102,4.829385,20
2/2013,4.758616,4.736520,4.778895,20
1/2013,4.676236,4.642640,4.754830,22
12/2012,4.660480,4.644768,4.671989,19
11/2012,4.667268,4.642001,4.684820,22
10/2012,4.664131,4.625132,4.690019,23
9/2012,4.670360,4.634936,4.711481,20
8/2012,4.711057,4.695479,4.718579,23
7/2012,4.705590,4.692503,4.723371,22
6/2012,4.701895,4.657676,4.736795,21
5/2012,4.668232,4.633607,4.686404,22
4/2012,4.677362,4.650415,4.687146,19
3/2012,4.679330,4.662823,4.698592,22
2/2012,4.690219,4.668290,4.700638,21
1/2012,4.755660,4.689930,4.810078,22
12/2011,4.772364,4.732012,4.801835,21
11/2011,4.757091,4.739617,4.780957,22
10/2011,4.755351,4.693216,4.820766,21
9/2011,4.650270,4.539191,4.771415,22
8/2011,4.524126,4.481141,4.552079,23
7/2011,4.467150,4.439863,4.495599,21
6/2011,4.454489,4.408171,4.479684,22
5/2011,4.427911,4.398227,4.471401,22
4/2011,4.446403,4.412300,4.477405,19
3/2011,4.499408,4.467692,4.519202,23
2/2011,4.453381,4.374593,4.533391,20
1/2011,4.413666,4.395852,4.434766,21
12/2010,4.495868,4.402031,4.572017,23
11/2010,4.562066,4.531245,4.590986,22
10/2010,4.627029,4.579382,4.675546,21
9/2010,4.703454,4.670540,4.721494,22
8/2010,4.705472,4.685592,4.745181,22
7/2010,4.740920,4.713776,4.761698,22
6/2010,4.728295,4.676667,4.771941,22
5/2010,4.678119,4.622422,4.736928,21
4/2010,4.621791,4.591932,4.659609,20
3/2010,4.681865,4.657200,4.708457,23
2/2010,4.706982,4.687177,4.722993,20
1/2010,4.672187,4.644468,4.701263,20
12/2009,4.728942,4.687250,4.748808,22
11/2009,4.736617,4.705787,4.772912,21
10/2009,4.736407,4.695049,4.792842,22
9/2009,4.770594,4.691004,4.820083,22
8/2009,4.813387,4.783191,4.829012,21
7/2009,4.815821,4.772430,4.855830,23
6/2009,4.799181,4.741010,4.826130,22
5/2009,4.812010,4.771094,4.844856,20
4/2009,4.930433,4.864057,4.979166,20
3/2009,5.027486,4.936690,5.171030,22
2/2009,5.017535,4.911402,5.132112,20
1/2009,4.890586,4.828461,4.940896,21
12/2008,4.837670,4.742340,4.882921,21
11/2008,4.850376,4.802709,4.903614,20
10/2008,4.787355,4.681599,4.906530,23
9/2008,4.680573,4.640612,4.716110,22
8/2008,4.557884,4.483547,4.620574,21
7/2008,4.451015,4.425958,4.479228,23
6/2008,4.404046,4.356318,4.434621,21
5/2008,4.393604,4.363088,4.428019,21
4/2008,4.341072,4.317583,4.374417,22
3/2008,4.325282,4.264879,4.374424,19
2/2008,4.410857,4.324848,4.454330,21
1/2008,4.469284,4.440602,4.491280,22
12/2007,4.402186,4.364757,4.454282,19
11/2007,4.358958,4.337318,4.378239,22
10/2007,4.349292,4.329411,4.380071,23
9/2007,4.399333,4.364980,4.417258,20
8/2007,4.363445,4.325832,4.396232,23
7/2007,4.341924,4.310855,4.360175,22
6/2007,4.331521,4.309241,4.364503,21
5/2007,4.338334,4.309474,4.368889,22
4/2007,4.296154,4.279505,4.319417,19
3/2007,4.273116,4.246139,4.293352,22
2/2007,4.259867,4.243833,4.269906,20
1/2007,4.209678,4.152092,4.248640,22
12/2006,4.157425,4.125348,4.195658,19
11/2006,4.173619,4.142517,4.215042,22
10/2006,4.201274,4.180768,4.226417,22
9/2006,4.148485,4.121994,4.181991,21
8/2006,4.113980,4.087058,4.146401,23
7/2006,4.084325,4.034559,4.122436,21
6/2006,4.056851,3.989338,4.088331,22
5/2006,3.963272,3.913669,4.007823,22
4/2006,4.030997,3.979892,4.063899,18
3/2006,4.042444,4.015038,4.065931,23
2/2006,4.014605,3.967410,4.045590,20
1/2006,3.983823,3.950908,4.178158,22
12/2005,4.136888,4.103737,4.188427,21
11/2005,4.153561,4.126443,4.169204,22
10/2005,4.138136,4.103587,4.173299,21
9/2005,4.066514,4.006643,4.113515,22
8/2005,3.959174,3.918709,4.043330,23
7/2005,3.883222,3.825887,3.940540,21
6/2005,3.791602,3.769595,3.822246,22
5/2005,3.774463,3.750211,3.798076,22
4/2005,3.805284,3.774431,3.832297,21
3/2005,3.758195,3.706177,3.842202,21
2/2005,3.806383,3.755734,3.851883,20
1/2005,3.842370,3.811354,3.880889,21
12/2004,3.888328,3.839817,3.927585,23
11/2004,3.955898,3.868175,4.045670,22
10/2004,4.082015,4.032637,4.101867,21
9/2004,4.089449,4.066489,4.107629,22
8/2004,4.107074,4.052059,4.144071,22
7/2004,4.064488,4.010806,4.139786,22
6/2004,4.054718,3.999276,4.095278,22
5/2004,4.031648,3.946371,4.081962,21
4/2004,4.042568,3.962531,4.137794,20
3/2004,4.039195,3.991069,4.101800,23
2/2004,4.006774,3.955538,4.030170,20
1/2004,4.079987,4.027246,4.193350,21
12/2003,4.097343,3.996456,4.123419,21
11/2003,4.114803,4.073470,4.202962,20
10/2003,4.083850,4.046205,4.110739,23
9/2003,4.097349,4.052240,4.127913,22
8/2003,4.145478,4.106494,4.191906,21
7/2003,4.151866,4.122669,4.216315,23
6/2003,4.199158,4.143555,4.342339,21
5/2003,4.176123,4.084808,4.204265,21
4/2003,4.229397,4.171817,4.366853,20
3/2003,4.253185,4.096622,4.371810,21
2/2003,4.199378,4.172598,4.224044,20
1/2003,4.184978,4.152384,4.261917,22
12/2002,4.199083,4.178090,4.261368,20
11/2002,4.188136,4.153773,4.216546,21
10/2002,4.214852,4.172265,4.259394,23
9/2002,4.171146,4.076718,4.246558,21
8/2002,4.090330,4.018872,4.164943,22
7/2002,4.018602,3.931641,4.121504,23
6/2002,4.096588,4.006129,4.151924,20
5/2002,4.152314,4.103942,4.214904,22
4/2002,4.217573,4.186663,4.255447,21
3/2002,4.231830,4.199491,4.263606,20
2/2002,4.239646,4.209518,4.277593,20
1/2002,4.225268,4.181273,4.253746,22
12/2001,4.192154,4.163033,4.252265,19
11/2001,4.163806,4.133335,4.186542,22
10/2001,4.290431,4.144547,4.411108,23
9/2001,4.273111,4.122329,4.403884,20
8/2001,4.198476,4.158977,4.230169,23
7/2001,4.218931,4.151073,4.289724,22
6/2001,4.154342,4.095785,4.223948,21
5/2001,4.040344,3.965446,4.187806,22
4/2001,3.991499,3.932299,4.038380,19
3/2001,3.939800,3.904793,3.979837,22
2/2001,3.912384,3.883567,3.975372,20
1/2001,3.956275,3.911639,4.025859,22
12/2000,4.010944,3.946699,4.047752,19
11/2000,3.912583,3.837800,3.983554,22
10/2000,3.853490,3.750832,3.945691,22
9/2000,3.772656,3.714481,3.809288,21
8/2000,3.771345,3.740689,3.789648,23
7/2000,3.752961,3.712694,3.819121,21
6/2000,3.787794,3.677539,4.105865,22
5/2000,3.720368,3.682422,3.743652,22
4/2000,3.689507,3.669891,3.708585,18
3/2000,3.714605,3.685611,3.726119,23
2/2000,3.724391,3.703748,3.839178,21
1/2000,3.734900,3.700121,3.839178,21
12/1999,3.824037,3.795647,3.836759,23
11/1999,3.844939,3.829504,3.850722,22
10/1999,3.849012,3.845224,3.858264,21
9/1999,3.852504,3.839178,3.883261,22
8/1999,3.878641,3.857316,3.908102,22
7/1999,3.910071,3.898428,3.929867,22
6/1999,3.932890,3.906892,3.990326,22
5/1999,3.965464,3.958888,3.974867,21
4/1999,3.986094,3.954051,4.029021,22
3/1999,4.010331,3.996372,4.038694,23
2/1999,3.936441,3.904474,4.014510,20
1/1999,3.905504,3.885127,3.929867,21
12/1998,3.909994,3.893591,3.935913,23
11/1998,3.943820,3.923821,3.972189,21
10/1998,4.005759,3.927449,4.155985,22
9/1998,4.187604,4.150256,4.210399,22
8/1998,4.199574,4.165659,4.220073,21
7/1998,4.158088,4.145103,4.172914,23
6/1998,4.178081,4.124547,4.232164,22
5/1998,4.047784,3.991536,4.111245,21
4/1998,3.992195,3.978235,4.002418,22
3/1998,3.932725,3.875453,3.984281,22
2/1998,3.982840,3.893591,4.117291,20
1/1998,4.117700,3.966143,4.207981,22
12/1997,3.931181,3.887545,3.978235,23
11/1997,3.844137,3.700121,4.020556,20
10/1997,3.585486,3.446191,3.784764,23
9/1997,3.475988,3.464329,3.514067,22
8/1997,3.485346,3.476421,3.500605,21
7/1997,3.388674,3.363966,3.494559,23
6/1997,3.373985,3.363966,3.379686,21
5/1997,3.360407,3.347037,3.373640,22
4/1997,3.340827,3.332527,3.348247,22
3/1997,3.331433,3.327690,3.337364,21
2/1997,3.332638,3.320435,3.348034,20
1/1997,3.323948,3.305925,3.351656,23
12/1996,3.303694,3.300845,3.304634,22
11/1996,3.304263,3.299645,3.308316,21
10/1996,3.305023,3.299447,3.316927,23
9/1996,3.299480,3.295227,3.301570,21
8/1996,3.297748,3.294160,3.302345,22
7/1996,3.305766,3.297494,3.319462,23
6/1996,3.317286,3.302526,3.328180,20
5/1996,3.279652,3.253853,3.348629,23
4/1996,3.255450,3.251147,3.261299,22
3/1996,3.281623,3.256705,3.297046,21
2/1996,3.298009,3.296492,3.299157,21
1/1996,3.285934,3.270137,3.298140,23
12/1995,3.276895,3.273006,3.283450,21
11/1995,3.271224,3.250306,3.281010,22
10/1995,3.230130,3.209210,3.239663,22
9/1995,3.290764,3.246387,3.301638,21
8/1995,3.271209,3.201923,3.308038,23
7/1995,3.155968,3.110540,3.209057,21
6/1995,3.098827,3.085411,3.114183,22
5/1995,3.062675,3.013978,3.105015,23
4/1995,3.019501,2.980391,3.071422,20
3/1995,3.089635,3.074464,3.121598,23
2/1995,3.115338,3.108153,3.120010,20
1/1995,3.108357,3.098751,3.116211,22
12/1994,3.102999,3.083814,3.122123,22
11/1994,3.067704,3.044913,3.092481,22
10/1994,3.056757,3.044622,3.066667,21
9/1994,3.062446,3.058664,3.067822,22
8/1994,3.069390,3.050713,3.080807,23
7/1994,3.078333,3.067818,3.088335,21
6/1994,3.111341,3.092093,3.120694,22
5/1994,3.086150,3.033400,3.120968,22
4/1994,3.024298,3.017251,3.031208,21
3/1994,3.027701,3.016106,3.037209,23
2/1994,3.030854,3.019393,3.044458,20
1/1994,3.038543,3.029226,3.054352,21
12/1993,4.598579,4.570349,4.626944,23
11/1993,4.629677,4.618954,4.662594,22
10/1993,4.631596,4.626118,4.650389,21
9/1993,4.644300,4.626032,4.676490,22
8/1993,4.654095,4.638496,4.667048,22
7/1993,4.615165,4.573378,4.667654,22
6/1993,4.560729,4.509527,4.594849,22
5/1993,4.527984,4.494998,4.569085,21
4/1993,4.538236,4.485079,4.565891,22
3/1993,4.530018,4.492145,4.562817,23
2/1993,4.461949,4.345390,4.523925,20
1/1993,4.397776,4.302609,4.470727,21
12/1992,4.376053,4.315590,4.434764,23
11/1992,4.511938,4.425356,4.556515,21
10/1992,4.554341,4.520262,4.574623,22
9/1992,4.583457,4.517828,4.637104,22
8/1992,4.617151,4.583081,4.645956,21
7/1992,4.539736,4.471246,4.598877,23
6/1992,4.512036,4.492227,4.538835,22
5/1992,4.533115,4.517755,4.558555,21
4/1992,4.592887,4.564597,4.652266,22
3/1992,4.627708,4.580481,4.657439,22
2/1992,4.558592,4.473440,4.587726,20
1/1992,4.622138,4.571554,4.783883,23
12/1991,4.749483,4.726220,4.772244,22
11/1991,4.818005,4.762543,4.886627,21
10/1991,4.891912,4.848286,4.916998,23
9/1991,4.930814,4.874872,4.980471,21
8/1991,4.975310,4.955834,5.006996,22
7/1991,5.026536,5.003347,5.046148,23
6/1991,5.061806,5.049264,5.083774,20
5/1991,5.121966,5.082726,5.152150,23
4/1991,5.185603,5.142092,5.270353,22
3/1991,5.363577,5.199706,5.590561,21
2/1991,5.236438,5.055022,5.413170,20
1/1991,5.159905,5.077551,5.230173,23
12/1990,5.201971,5.141251,5.321188,21
11/1990,5.504339,5.192161,5.759944,22
10/1990,5.761874,5.739841,5.767739,23
9/1990,5.766446,5.759404,5.771879,20
8/1990,5.763766,5.685762,5.836929,23
7/1990,5.736167,5.690265,5.760578,22
6/1990,5.786100,5.744735,5.797545,21
5/1990,5.704794,5.575424,5.844217,23
4/1990,5.567763,5.517248,5.582058,21
3/1990,5.566048,5.524937,5.597921,22
2/1990,5.518276,5.504447,5.540292,20
1/1990,5.511288,5.466035,5.578351,23
12/1989,6.294048,5.478069,7.020823,21
11/1989,6.976908,6.916975,7.015100,22
10/1989,6.888378,6.703441,6.961346,22
9/1989,6.896388,6.852656,6.941094,21
8/1989,6.888555,6.837781,7.017782,23
7/1989,6.921657,6.865092,7.004208,21
6/1989,6.989926,6.941094,7.192561,22
5/1989,6.921602,6.807097,7.108032,23
4/1989,7.238442,6.954494,7.324329,20
3/1989,7.395488,7.294849,7.495857,23
2/1989,7.426573,7.397420,7.452967,20
1/1989,7.465791,7.420807,7.560165,22
